site,month,hour,kw_per_kw
north,12,1,0.0
north,12,2,0.0
north,12,3,0.0
north,12,4,0.0
north,12,5,0.0
north,12,6,0.0
north,12,7,0.0
north,12,8,0.0521
north,12,9,0.2004
north,12,10,0.3275
north,12,11,0.4056
north,12,12,0.4516
north,12,13,0.429
north,12,14,0.3511
north,12,15,0.2421
north,12,16,0.104
north,12,17,0.0003
north,12,18,0.0
north,12,19,0.0
north,12,20,0.0
north,12,21,0.0
north,12,22,0.0
north,12,23,0.0
south,1,0,0.0
south,1,1,0.0
south,1,2,0.0
south,1,3,0.0
south,1,4,0.0
south,1,5,0.0
south,1,6,0.0
south,1,7,0.0
south,1,8,0.0445
south,1,9,0.1962
south,1,10,0.3189
south,1,11,0.4118
south,1,12,0.4578
south,1,13,0.4436
south,1,14,0.3924
south,1,15,0.2929
south,1,16,0.1682
south,1,17,0.032
south,1,18,0.0
south,1,19,0.0
south,1,20,0.0
south,1,21,0.0
south,1,22,0.0
south,1,23,0.0
south,2,0,0.0
south,2,1,0.0
south,2,2,0.0
south,2,3,0.0
south,2,4,0.0
south,2,5,0.0
south,2,6,0.0
south,2,7,0.0027
south,2,8,0.0825
south,2,9,0.2098
south,2,10,0.3088
south,2,11,0.4042
south,2,12,0.4627
south,2,13,0.4314
south,2,14,0.3892
south,2,15,0.3091
south,2,16,0.1921
south,2,17,0.0819
south,2,18,0.0037
south,2,19,0.0
south,2,20,0.0
south,2,21,0.0
south,2,22,0.0
south,2,23,0.0
south,3,0,0.0
south,3,1,0.0
south,3,2,0.0
south,3,3,0.0
south,3,4,0.0
south,3,5,0.0
south,3,6,0.0006
south,3,7,0.0483
south,3,8,0.1804
south,3,9,0.3225
south,3,10,0.4281
south,3,11,0.4694
south,3,12,0.4737
south,3,13,0.432
south,3,14,0.3861
south,3,15,0.3092
south,3,16,0.2213
south,3,17,0.1308
south,3,18,0.0295
south,3,19,0.0
south,3,20,0.0
south,3,21,0.0
south,3,22,0.0
south,3,23,0.0
south,4,0,0.0
south,4,1,0.0
south,4,2,0.0
south,4,3,0.0
south,4,4,0.0
south,4,5,0.0
south,4,6,0.0141
south,4,7,0.1072
south,4,8,0.2171
south,4,9,0.3319
south,4,10,0.4019
south,4,11,0.4566
south,4,12,0.4779
south,4,13,0.4427
south,4,14,0.3903
south,4,15,0.3187
south,4,16,0.2512
south,4,17,0.1585
south,4,18,0.0554
south,4,19,0.0034
south,4,20,0.0
south,4,21,0.0
south,4,22,0.0
south,4,23,0.0
south,5,0,0.0
south,5,1,0.0
south,5,2,0.0
south,5,3,0.0
south,5,4,0.0
south,5,5,0.0047
south,5,6,0.0406
south,5,7,0.1375
south,5,8,0.2531
south,5,9,0.3518
south,5,10,0.4512
south,5,11,0.5079
south,5,12,0.5065
south,5,13,0.4721
south,5,14,0.4463
south,5,15,0.3769
south,5,16,0.295
south,5,17,0.1865
south,5,18,0.0798
south,5,19,0.0158
south,5,20,0.0
south,5,21,0.0
south,5,22,0.0
south,5,23,0.0
south,6,0,0.0
south,6,1,0.0
south,6,2,0.0
south,6,3,0.0
south,6,4,0.0
south,6,5,0.0094
south,6,6,0.0491
south,6,7,0.1578
south,6,8,0.2811
south,6,9,0.3914
south,6,10,0.4734
south,6,11,0.5001
south,6,12,0.5016
south,6,13,0.5073
south,6,14,0.4471
south,6,15,0.3718
south,6,16,0.2893
south,6,17,0.2038
south,6,18,0.1051
south,6,19,0.0311
south,6,20,0.002
south,6,21,0.0
south,6,22,0.0
south,6,23,0.0
south,7,0,0.0
south,7,1,0.0
south,7,2,0.0
south,7,3,0.0
south,7,4,0.0
south,7,5,0.0045
south,7,6,0.0358
south,7,7,0.1386
south,7,8,0.2647
south,7,9,0.3754
south,7,10,0.4798
south,7,11,0.5347
south,7,12,0.5454
south,7,13,0.5328
south,7,14,0.4806
